1000000000000	2	3.612389	276.825165s
1000000000000	4	3.588283	278.684814s
1000000000000	2	2.723927	367.117126s
1000000000000	1	2.658746	376.117126s
1000000000000	4	2.708038	369.271057s
D	1000000000000	2	3.656971 GOPS	273.450378s Sec
D	1000000000000	4	3.711546 GOPS	269.429474s Sec
H	1000000000000	4	2.739172 GOPS	365.073792s Sec
H	1000000000000	2	2.736023 GOPS	365.494019s Sec
D	1000000000000	2	3.897267 GOPS	256.590027s Sec
D	1000000000000	4	3.667064 GOPS	272.697723s Sec
D	1000000000000	1	3.576429 GOPS	279.608490s Sec
H	1000000000000	4	2.690603 GOPS	371.663879s Sec
H	1000000000000	2	2.643363 GOPS	378.305969s Sec
H	1000000000000	1	2.527759 GOPS	395.607239s Sec
S	1000000000000	2	3.642696 GOPS	274.521942s Sec
S	1000000000000	4	3.599745 GOPS	277.797455s Sec
Q	1000000000004	4	2.939565 GOPS	340.186371s Sec
S	1000000000000	1	3.683949 GOPS	271.447876s Sec
Q	1000000000001	1	2.538203 GOPS	393.979523s Sec
Q	1000000000002	2	2.562830 GOPS	390.193634s Sec
S	1000000000000	2	3.812617 GOPS	262.287018s Sec
S	1000000000000	1	3.582554 GOPS	279.130432s Sec
S	1000000000000	4	3.570004 GOPS	280.111755s Sec
D	1000000000000	2	3.717524 GOPS	268.996277s Sec
D	1000000000000	4	3.615830 GOPS	276.561646s Sec
Q	1000000000002	2	2.905880 GOPS	344.129822s Sec
D	1000000000000	1	3.543642 GOPS	282.195526s Sec
Q	1000000000004	4	2.741272 GOPS	364.794098s Sec
Q	1000000000001	1	2.658728 GOPS	376.119659s Sec
H	1000000000000	1	2.707479 GOPS	369.347198s Sec
D	1000000000000	1	3.551921 GOPS	281.537750s Sec
D	1000000000000	2	3.475289 GOPS	287.745819s Sec
S	1000000000000	1	3.618143 GOPS	276.384857s Sec
H	1000000000000	4	2.698909 GOPS	370.520111s Sec
H	1000000000000	2	2.664030 GOPS	375.371124s Sec
H	1000000000000	1	2.537114 GOPS	394.148590s Sec
Q	1000000000004	4	2.670751 GOPS	374.426575s Sec
Q	1000000000001	1	2.735781 GOPS	365.526306s Sec
Q	1000000000002	2	2.537855 GOPS	394.033569s Sec
D	1000000000000	4	3.628486 GOPS	275.597046s Sec
S	1000000000000	4	3.732475 GOPS	267.918762s Sec
S	1000000000000	2	3.559757 GOPS	280.917999s Sec
S	1000000000000	1	3.568631 GOPS	280.219513s Sec
Q	1000000000004	4	2.727322 GOPS	366.660065s Sec
Q	1000000000002	2	2.632194 GOPS	379.911163s Sec
Q	1000000000001	1	2.489546 GOPS	401.679718s Sec
